city_name,city_code
Abanda,20000001
Abbeville,20115345
Abbeville,20048142
Abbeville,20000002
Abbey Road,900054474
Abbeyville,20016993
Abbot Village,20051412
Abbotsford,20149233
Abbottstown,20105306
Abercrombie,20126157
Aberdeen,20096741
Aberdeen,20053510
Aberdeen,20142909
Aberdeen,20090849
Aberdeen,20021310
Aberdeen,20119310
Aberdeen,20068702
Abilene,20126162
Abilene,20042027
Abingdon,20135382
Abiquiu,20082979
Abita Springs,20048146
Absecon,20080427
Abshers,20090852
Acampo,20011206
Acapesket,20061567
Accident,20053521
Accokeek,20053522
Accord,20084607
Ace,20126170
Ackworth,20105321
Acme,20063734
Acoma Pueblo,20082983
Acra,20084609
Acres Green,20016997
Acton,20000014
Acton,20061571
Acuff,20120237
Acworth,20024630
Acworth Beach,20024631
Ada,20063735
Ada,20102048
Adair,20039843
Adairsville,20024633
Adams,20149239
Adams,20061573
Adams Crossroads,20024634
Adamsburg,20105330
Adamstown,20105332
Adamsville,20120243
Adamsville,20021316
Addicks,20126179
Addison,20126181
Addison,20105336
Addison,20134499
Addison,20032566
Addison Heights,20135402
Adel,20039846
Adel,20024640
Adelaida,20011217
Adelanto,20011218
Adelphi,20084618
Adelphi,20053533
Adobe Corner,20011220
Adrian,20063741
Adrian Furnace,20105341
Adventura,20021317
Aerial,20024644
Afton,20102055
Afton,20151607
Afton,20066584
Afton,20135412
Afton,20024645
Agate,20142922
Agate Beach,20103974
Agnew,20011227
Agoura Hills,20011229
Agricola,20135415
Agua Fria,20011233
Agua Fria,20082993
Ah-gwah-ching,20066585
Aho,20090865
Ahoskie,20090866
Ahwahnee,20011236
Ahwatukee,20005673
Aiea,20030824
Aiken,20115357
Aiken Municipal Airport,900032076
Ainaloa,20030827
Ainsworth,20077630
Air Base City,20082996
Airway Heights,20142928
Ajo,20005675
Akron,20105354
Akron,20096766
Al Tahoe,20011240
Alabaster,20000038
Alachua,20021319
Aladdin City,20021320
Alameda,20011244
Alameda,20082998
Alamo,20078810
Alamo,20011246
Alamo,20126207
Alamogordo,20083003
Alamosa,20017008
Alanson,20063755
Alarka,20090872
Alaska,20063756
Alba,20126213
Alba,20063757
Albany,20103979
Albany,20079442
Albany,20024664
Albany,20102060
Albany,20066589
Albany,20011250
Albany,20126214
Albany,20084630
Albany,20043694
Albemarle,20090874
Albert Lea,20066590
Alberton,20076009
Albertville,20000042
Albertville,20066592
Albeth Heights,20053554
Albia,20039855
Albion,20077633
Albion,20031328
Albion,20063759
Albion,20011252
Albion,20084634
Albion,20032584
Albrightsville,20105364
Albuquerque,20083006
Alcan,20004969
Alcoa,20120260
Alden,20135437
Alden,20077635
Alden,20063762
Alder,20120262
Aldie,20135438
Aldine,20126220
Alexander,20095879
Alexander,20007642
Alexander City,20000048
Alexandria,20066599
Alexandria,20135442
Alexandria,20048168
Alexandria,20096775
Alexandria Bay,20084648
Alfalfa,20103984
Alfred,20084650
Alger,20142939
Algodones,20083010
Algoma,20149253
Algona,20039860
Algonquin,20032592
Alhambra,20011265
Alice,20126229
Aliceville,20000053
Alii Kai,20030836
Aliso,20011269
Aliso Viejo,20011270
Alki,20142941
Allegan,20063770
Allegany,20084654
Allen,20126233
Allen Ford,20071538
Allen Memorial Hospital Heliport,900035322
Allen Park,20063772
Allendale,20063773
Allenspark,20017012
Allentown,20142943
Allentown,20105403
Alliance,20048183
Alliance,20096789
Alliance,20011276
Alliance,20077639
Allisonville,20036459
Allouez,20149258
Alma,20017014
Alma,20063779
Alma,20007654
Alma,20024698
Alma,20077640
Almeria,20000070
Almond,20011280
Almond,20090905
Almonesson,20080457
Almont,20017016
Alna,20051431
Aloha,20103989
Aloha Kona,20030837
Alpena,20063784
Alpharetta,20024701
Alpine,20011286
Alpine,20126251
Alpine,20005693
Alpine,20151617
Alpine,20120283
Alpine,20000073
Alpine,20132526
Alpine Cellars Village,20083016
Alpine Lake,20145465
Alpine Meadows,20011289
Alps,20024705
Alsip,20032611
Alta,20076021
Alta,20151619
Alta,20132529
Alta Mesa,20011296
Alta Sierra Estates,20011299
Altadena,20011304
Altamont,20032613
Altamont,20090908
Altamonte Springs,20021339
Altavista,20135476
Altay,20084672
Alto,20063789
Alto,20083018
Alton,20079448
Alton,20032618
Alton,20132535
Alton Bay,20079449
Altona,20017020
Altoona,20105430
Altoona,20039874
Altoona,20149267
Altura,20017022
Alturas,20011310
Alturas,20021343
Altus,20102080
Altus,20132537
Altvan,20151621
Alva,20102081
Alva,20151622
Alvarado,20126265
Alverno,20063793
Alvin,20126267
Alviso,20011312
Alyeska,20004976
Amado,20005696
Amador City,20011313
Amagansett,900052977
Amagansett,20084677
Amana,20039876
Amanda Park,20142956
Amargosa Valley,20078814
Amarillo,20126270
Ambler,20105443
Ambler Heights,20096805
Ambridge,20105444
Amelia,20048200
Amelia Court House,20135486
Amelia Island,900007104
Amelia Island,20021345
Amenia,20084684
American Beach,20021346
American Canyon,20011319
American Fork,20132541
American Towers Condominium,20132543
Americus,20024717
Ames,20039879
Ames Heights,20145483
Amesbury,20061588
Amherst,20084687
Amherst,20135489
Amherst,20061589
Amherst,20096809
Amicalola,20024718
Amite,20048201
Amity,20103997
Amityville,20084690
Amory,20068741
Amphion,20126283
Amsterdam,20096818
Amsterdam,20084691
Amston,20018546
Anaconda,20076026
Anacortes,20142962
Anadarko,20102087
Anaehoomalu,20030838
Anaheim,20011324
Anaheim Hills,20011325
Anahola,20030839
Anahuac,20126286
Analomink,20105456
Anamosa,20039882
Anastasia,20021347
Anastasia Island,900007106
Anchor Bay,20011326
Anchor Point,20004980
Anchorage,20004981
Anclote,20021348
Andalusia,20000085
Anden at The Woods,20135496
Anderson,20071570
Anderson,20036478
Anderson,20115372
Anderson,20011327
Anderson Mill,20017028
Anderson Ways,20126291
Andersonville,20120305
Andover,20061593
Andover,20021350
Andover,20051435
Andover,20080469
Andover,20042068
Andover Lakes Estates,20021352
Andreas,20105469
Andrews,20126293
Andrews,20090922
Angel Fire,20083030
Angell,20005705
Angels Camp,20011333
Angleton,20126297
Angola,20036483
Angola-on-the-Lake,20084703
Ankeny,20039889
Ankona,20021360
Ann Arbor,20063809
Anna,20032638
Anna Maria,20021361
Anna Maria Island,900007109
Annandale,20135508
Annandale,20066623
Annapolis,20071575
Annapolis,20053621
Annapolis Junction,900048308
Annaville,20126301
Annawan,20032640
Anne Acres,20019601
Annieville,20115379
Anniston,20000092
Annville,20105480
Anoka,20066624
Anona,20021362
Ansley Heights,20090926
Anson,20126308
Ansonia,20018548
Ansted,20145497
Antero Junction,20017034
Anthem,900040893
Anthony,20042075
Anthony,20126311
Antigo,20149286
Antioch,20011346
Antioch,20120325
Antioch,20032641
Antlers,20102094
Antonito,20017037
Apache Flats,20071583
Apache Junction,20005711
Apalachicola,20021365
Apalachin,20084710
Apex,20090933
Apollo Beach,20021366
Apopka,20021367
Appenzell,20105490
Apple Canyon Lake Airport,900012079
Apple Ridge,20090936
Apple Spur,20007688
Apple Valley,20011353
Apple Valley,20066627
Appleton,20149290
Applewood,20017041
Appomattox,20135526
Aptos,20011357
Aquebogue,20084717
Aquone,20090938
Arab,20000105
Arabi,20048226
Arabian Gardens Mobile Home Park,20011358
Aragon,20083049
Aransas Pass,20126329
Arapahoe,20090941
Ararat,20135530
Arbor,20077661
Arbor Vitae,20149291
Arbutus Beach,20063817
Arcadia,20021370
Arcadia,20149293
Arcadia,20063818
Arcadia,20011368
Arcadia,20142974
Arcadia,20048229
Arcadia,20071598
Arcadian Shores,20115399
Arcata,20011369
Arch Cape,20104006
Archdale,20090948
Arco,20031352
Arcola,20036502
Arcola,20032650
Ardell,20000111
Arden,20090951
Arden,20078821
Arden Hills,20066633
Ardmore,20102103
Ardsley,20084728
Argillite,20043750
Argo Mill,20017046
Arivaca,20005724
Arizola,20005726
Arizona City,20005728
Arkadelphia,20007699
Arkansas City,20042084
Arkville,20084736
Arley,20000122
Arling,20031354
Arlington,20090955
Arlington,20021379
Arlington,20135554
Arlington,20119337
Arlington,20084739
Arlington,20134510
Arlington,20104009
Arlington,20061597
Arlington,20142981
Arlington,20126350
Arlington Heights,20096864
Arlington Heights,20032657
Armonk,20084741
Armstrong,20011385
Arnold,20071620
Arnold,20011386
Arnolds Park,20039908
Arnoldsville,20024780
Arrowbear Lake,20011390
Arrowhead,20071627
Arrowhead Beach,20071628
Arrowhead Highlands,20011392
Arrowhead Lake,20105536
Arrowhead Ranch,20005734
Arroyo Grande,20011396
Arroyo Hondo,20083059
Arroyo Seco,20083060
Arshamonaque,20084747
Art Village,20084748
Artesia,20011400
Artesia,20083063
Arthur,20032665
Artist Point,20007714
Arundel,20051444
Arvada,20017056
Arverne,20084752
Asbury,20090965
Asbury Park,20080489
Ascutney,20134512
Ash Fork,20005737
Ashburn,20024788
Ashburn,20135585
Ashburnham,20061601
Ashdale,20115419
